[	12.49	0	1718	598	2630452
b2sum	17.56	0	2667	526	3443633
base32	10.48	0	1524	443	2259703
base64	10.44	0	1383	444	2195004
basename	9.54	0	1188	364	1838665
basenc	13.45	0	2092	495	2995895
cat	10.47	0	1403	486	2400959
chgrp	16.46	0	2384	935	4208996
chmod	16.49	0	2387	889	3949105
chown	16.43	0	2330	935	4208996
chroot	11.43	0	1761	421	2426626
cksum	41.47	0	5666	1047	24589656
comm	10.47	0	1490	494	2231020
cp	25.51	0	3376	1292	7353526
csplit	38.47	0	5828	1386	9016461
cut	11.52	0	1876	609	3716379
date	29.48	0	4478	879	5868734
dd	14.48	0	2217	772	4858892
df	33.48	0	4895	1103	8307450
dir	49.65	0	7077	1534	9312607
dircolors	11.56	0	1824	435	2171355
dirname	10.51	0	1507	358	1786861
du	67.68	0	9927	2152	13803068
echo	5.28	0	834	354	1876251
env	8.27	0	1326	777	3467657
expand	6.30	0	895	527	2446895
expr	21.28	0	3143	1236	8446813
factor	7.28	0	1015	480	2959020
false	5.33	0	714	323	1641172
fmt	6.28	0	1030	498	2379101
fold	5.29	0	889	450	2530245
getlimits	6.29	0	876	762	2275858
ginstall	15.31	0	2133	1419	7922483
groups	5.30	0	885	379	1880691
head	6.31	0	1039	490	2488367
hostid	5.32	0	779	312	1732394
id	6.27	0	1001	609	2438317
join	7.30	0	1015	588	2874385
link	5.27	0	789	316	1763086
ln	8.28	0	1439	791	3773581
logname	5.28	0	762	316	1738567
ls	20.30	0	3033	1534	9312607
md5sum	6.29	0	1005	522	2493297
mkdir	6.27	0	1033	622	2594434
mkfifo	5.27	0	899	461	1947815
mknod	6.33	0	940	484	2194794
mktemp	5.26	0	856	396	1932234
mv	15.31	0	2332	1710	8046484
nice	5.32	0	951	361	1940492
nl	20.33	0	3270	1171	8296563
nohup	5.28	0	921	386	2055794
nproc	5.31	0	892	401	2098528
numfmt	8.29	0	1292	651	3655591
od	16.34	0	2724	666	6456059
paste	5.29	0	936	453	1933383
pathchk	5.30	0	823	349	2000226
pinky	6.30	0	1144	616	2271065
pr	12.34	0	1985	853	5141969
printenv	5.31	0	896	370	1819154
printf	14.36	0	2123	555	5140075
ptx	22.31	0	3295	1286	9250321
pwd	5.30	0	772	434	1838716
readlink	7.31	0	1095	605	2637665
realpath	7.28	0	1037	641	2759528
rm	9.36	0	1421	1014	4057085
rmdir	5.30	0	750	374	1832260
seq	13.35	0	2077	510	4823336
sha1sum	6.30	0	979	522	2493386
sha224sum	6.35	0	1088	527	2513594
sha256sum	6.30	0	1161	527	2513599
sha384sum	6.29	0	961	527	2518295
sha512sum	6.33	0	1109	527	2518297
shred	8.36	0	1360	739	4202998
shuf	8.36	0	1141	752	3404742
sleep	5.30	0	733	366	1916023
sort	16.37	0	2341	1612	6955025
split	8.34	0	1378	696	4149673
stat	21.33	0	3607	1096	7793324
stdbuf	6.31	0	925	451	2181428
stty	7.35	0	1199	826	3276873
sum	7.35	0	1100	508	3596225
sync	5.38	0	810	388	1882984
tac	20.36	0	2971	1247	8380769
tail	11.33	0	1690	1017	5179653
tee	5.27	0	965	491	2173176
test	7.36	0	1150	598	2630419
timeout	6.33	0	912	537	2274168
touch	11.30	0	1549	593	4125599
tr	7.30	0	1207	528	2788859
true	5.30	0	788	323	1641164
truncate	5.32	0	855	358	2123379
tsort	5.29	0	961	428	1926824
tty	5.31	0	792	317	1664129
uname	5.36	0	791	379	1793513
unexpand	6.30	0	869	535	2496144
uniq	6.33	0	890	554	2337433
unlink	5.31	0	836	316	1749343
users	6.30	0	918	380	2027822
vdir	20.35	0	3207	1534	9312607
wc	9.29	0	1415	566	4278196
who	14.32	0	2518	529	4933431
whoami	5.29	0	829	316	1745976
yes	5.30	0	888	450	2122779
